Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
7696,116.00,-600.00,16892.00,0.08,-0.33,10.06,65.00,19.00,31.00,-0.05,0.01,0.10,164,190,202 ,
8396,164.00,-584.00,16828.00,0.06,-0.30,10.16,64.00,19.00,33.00,-0.05,0.01,-0.02,163,193,205 ,
9095,68.00,-568.00,16864.00,0.11,-0.36,10.05,69.00,18.00,31.00,0.13,-0.17,0.10,165,195,206 ,
9796,144.00,-552.00,16800.00,0.12,-0.31,10.10,67.00,21.00,29.00,0.07,0.20,-0.14,168,192,207 ,
10495,252.00,-568.00,16800.00,0.12,-0.35,10.09,62.00,16.00,29.00,-0.11,-0.17,-0.14,171,196,208 ,
button pressed
696,184.00,-484.00,16852.00,0.07,-0.26,10.05,64.00,16.00,32.00,0.07,-0.17,0.10,168,209,202 ,
1397,220.00,-552.00,16888.00,0.17,-0.35,10.11,66.00,20.00,30.00,0.01,0.01,0.04,166,200,200 ,
2096,60.00,-660.00,16876.00,0.06,-0.31,10.04,66.00,20.00,32.00,0.07,-0.05,0.04,165,195,201 ,
2797,88.00,-536.00,16840.00,0.13,-0.29,10.11,66.00,18.00,34.00,0.01,0.01,0.10,167,197,201 ,
3496,140.00,-632.00,16880.00,0.09,-0.38,10.06,66.00,17.00,29.00,-0.05,0.07,-0.08,166,193,199 ,
4196,156.00,-560.00,16772.00,0.11,-0.37,10.07,66.00,20.00,28.00,0.07,0.01,-0.20,168,195,200 ,
4896,148.00,-612.00,16772.00,0.15,-0.35,10.00,67.00,17.00,32.00,-0.05,-0.11,0.10,170,195,203 ,
5596,32.00,-560.00,16856.00,0.05,-0.33,10.16,65.00,17.00,29.00,0.01,-0.11,-0.02,165,193,201 ,
6296,188.00,-544.00,16740.00,0.11,-0.39,10.10,66.00,18.00,32.00,-0.11,-0.05,-0.02,170,193,204 ,
6996,76.00,-612.00,16724.00,0.09,-0.34,10.15,68.00,20.00,29.00,0.01,0.01,0.04,163,194,204 ,
7695,124.00,-620.00,17012.00,0.13,-0.32,10.10,65.00,18.00,31.00,0.07,0.07,0.04,167,191,202 ,
8396,104.00,-608.00,16824.00,0.08,-0.43,10.04,66.00,20.00,29.00,-0.05,0.01,-0.08,169,191,203 ,
