Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
8175,120.00,-556.00,17012.00,0.15,-0.32,10.08,67.00,19.00,30.00,-0.05,0.13,0.02,193,211,222 ,
8874,208.00,-576.00,16832.00,0.09,-0.38,10.15,65.00,18.00,32.00,0.01,-0.11,0.02,194,209,224 ,
9575,208.00,-644.00,16828.00,0.08,-0.37,10.01,64.00,18.00,30.00,-0.11,0.01,-0.10,195,209,223 ,
10274,104.00,-504.00,16896.00,0.11,-0.34,10.01,65.00,20.00,30.00,-0.05,0.01,-0.04,194,207,225 ,
button pressed
696,108.00,-568.00,16772.00,0.06,-0.34,10.03,64.00,22.00,31.00,0.08,0.07,0.32,192,210,214 ,
1117,908.00,-444.00,14860.00,0.13,-0.22,10.40,65.00,31.00,29.00,0.08,0.62,0.20,190,207,215 ,573
1816,280.00,-532.00,16684.00,0.12,-0.39,10.00,65.00,17.00,29.00,0.14,0.07,-0.10,172,197,190 ,
2516,76.00,-612.00,16676.00,0.09,-0.34,10.09,66.00,19.00,32.00,0.14,0.01,0.08,192,206,219 ,
3216,160.00,-592.00,16728.00,0.11,-0.35,10.06,67.00,21.00,29.00,-0.05,0.07,-0.04,192,207,220 ,
3916,100.00,-544.00,16776.00,0.11,-0.34,10.02,67.00,20.00,30.00,0.01,0.07,0.14,192,208,221 ,
4616,76.00,-632.00,16776.00,0.10,-0.32,10.10,66.00,21.00,32.00,0.01,0.13,0.08,191,204,219 ,
5316,152.00,-524.00,16840.00,0.08,-0.33,10.10,66.00,20.00,30.00,0.14,0.19,0.08,192,206,219 ,
6015,220.00,-584.00,16804.00,0.14,-0.38,10.10,66.00,18.00,31.00,-0.05,0.01,0.08,190,207,216 ,
6716,128.00,-596.00,16952.00,0.11,-0.34,10.13,67.00,18.00,29.00,0.08,-0.05,0.08,188,204,211 ,
7415,140.00,-584.00,16852.00,0.07,-0.31,10.09,65.00,23.00,33.00,-0.05,0.13,0.14,187,205,210 ,
7597,80.00,-548.00,16916.00,0.08,-0.34,10.06,66.00,17.00,29.00,0.01,-0.05,-0.29,189,208,209 ,
8297,132.00,-544.00,16904.00,0.12,-0.33,10.09,66.00,15.00,31.00,0.01,-0.05,0.02,187,194,204 ,
8997,68.00,-624.00,16784.00,0.13,-0.36,10.04,63.00,18.00,32.00,-0.11,0.01,0.14,185,201,205 ,
9697,156.00,-660.00,16820.00,0.08,-0.37,10.13,66.00,21.00,29.00,0.01,0.13,0.02,183,203,206 ,
10397,204.00,-484.00,16888.00,0.11,-0.28,10.13,69.00,18.00,31.00,0.01,-0.11,0.08,188,205,205 ,
button pressed
695,136.00,-652.00,16976.00,0.10,-0.38,10.17,65.00,19.00,29.00,-0.05,0.07,-0.10,195,264,241 ,
1372,1588.00,328.00,13736.00,0.49,-0.40,2.57,83.00,-39.00,34.00,0.99,-0.23,0.14,193,231,235 ,139
1391,328.00,-500.00,16276.00,0.18,-0.28,9.86,62.00,11.00,31.00,-0.05,-0.36,0.02,195,216,243 ,2
1436,92.00,-572.00,16876.00,0.05,-0.41,10.07,63.00,20.00,31.00,-0.05,0.07,-0.04,193,276,244 ,
1449,40.00,-564.00,16784.00,0.02,-0.34,10.04,64.00,19.00,31.00,-0.17,0.13,0.08,195,189,220 ,
1569,188.00,-588.00,16688.00,0.51,0.15,7.88,71.00,13.00,30.00,0.20,-0.66,-0.04,195,179,215 ,32
2268,208.00,-588.00,16748.00,0.13,-0.38,10.03,65.00,22.00,31.00,0.01,0.19,0.14,197,178,214 ,
2969,100.00,-516.00,16908.00,0.10,-0.31,10.05,67.00,23.00,32.00,0.08,0.13,0.08,192,197,217 ,
3668,116.00,-652.00,16832.00,0.07,-0.38,10.08,64.00,17.00,32.00,-0.11,-0.05,0.14,192,208,222 ,
4368,116.00,-548.00,16908.00,0.08,-0.35,10.10,67.00,22.00,32.00,-0.05,0.01,0.02,191,210,222 ,
5068,64.00,-552.00,16916.00,0.02,-0.32,10.09,66.00,20.00,32.00,-0.05,0.01,-0.04,191,205,220 ,
5768,128.00,-576.00,16872.00,0.10,-0.37,10.07,67.00,21.00,33.00,-0.17,-0.11,0.08,189,130,193 ,
6468,172.00,-560.00,16936.00,0.06,-0.35,10.05,63.00,17.00,30.00,-0.05,0.01,-0.04,187,181,207 ,
7168,116.00,-484.00,16800.00,0.07,-0.30,10.08,66.00,17.00,33.00,-0.05,-0.05,0.08,191,302,249 ,
7867,204.00,-548.00,16764.00,0.15,-0.31,10.04,65.00,19.00,33.00,-0.05,0.01,0.08,195,253,236 ,
